Market,store_id,store_name,employee_name,refund_label_type,sold_date,ntid,new_exchange_imei,description,old_imei,tracking_details,shipping_status
Phoenix,70849388,5834 S Central Ave Ste A,SAM,Kumar,1/3/2025 2:21,RMA2501020C7,ARC KVD21,Arcadyan Home Internet Gateway Black,863289052319717,1Z1X298A0398791877,Submitted
Phoenix,70849388,5834 S Central Ave Ste A,SAM,Kumar,1/3/2025 2:24,RMA2501020C8,ARC KVD21,Arcadyan Home Internet Gateway Black,861035066120662,1Z1X298A0396488486,ReceivedInWarehouse
Denver,70848705,590 Dayton St,Account,Default,1/3/2025 2:42,RMA2501020CC,MOT XT2417-1_UT,Moto G 5G Green 128Gb,356645501205050,1Z1X298A0396134090,ReceivedInWarehouse
Denver,70832485,4391 Federal Blvd,Mohsan,Saeed,1/3/2025 2:48,RMA2501020CD,WIN TMRV075G_UT,Wingtech REVVL 7 5G Gray 128Gb,863550073151425,1Z1X298A0396828706,ReceivedInWarehouse
Denver,70832485,4391 Federal Blvd,Mohsan,Saeed,1/3/2025 2:51,RMA2501020CF,WIN TMRV075G_UT,Wingtech REVVL 7 5G Gray 128Gb,863550071590921,1Z1X298A0397764925,ReceivedInWarehouse
Denver,70832485,4391 Federal Blvd,Mohsan,Saeed,1/3/2025 2:54,RMA2501020CG,WIN TMRV075G_UT,Wingtech REVVL 7 5G Gray 128Gb,863550073151987,1Z1X298A0390726952,ReceivedInWarehouse
Denver,70832485,4391 Federal Blvd,Mohsan,Saeed,1/3/2025 3:00,RMA2501020CL,WIN TMRV075G_UT,Wingtech REVVL 7 5G Gray 128Gb,863550073146862,1Z1X298A0394656780,ReceivedInWarehouse
Memphis,70832678,450 Stateline Rd Unit D,Account,Default,1/3/2025 15:04,RMA25010300R,TRADEIN,"Generic Trade-In - no carrier, mfr or model specified",863892053082919,1Z1X298A0392670982,ReceivedInWarehouse
Houston,70832635,5807 Lyons Ave,Master,Dealer,1/3/2025 16:25,RMA25010301R,TRADEIN,"Generic Trade-In - no carrier, mfr or model specified",352310720532271,1Z1X298A0390649134,ReceivedInWarehouse
Houston,70832580,10307 Cullen Blvd Ste C,Master,Dealer,1/3/2025 16:29,RMA25010301S,TRADEIN,"Generic Trade-In - no carrier, mfr or model specified",35523055079551,1Z1X298A0397787393,ReceivedInWarehouse
Nashville Knoxville,70848930,121B SE Broad St,Master,Dealer,1/3/2025 16:52,RMA250103026,SAM S711U-GRY128_UT,Samsung Galaxy S23 Fan Edition 5G Gray 128Gb,355975561255443,1Z1X298A0399876275,ReceivedInWarehouse
Houston,70832594,113 1st St W Ste B,Master,Dealer,1/3/2025 17:01,RMA25010302F,ARC KVD21,Arcadyan Home Internet Gateway Black,864644060244340,1Z1X298A0390476231,ReceivedInWarehouse
Denver,70832500,582 S Chambers Rd,Account,Default,1/3/2025 17:25,RMA250103030,TRADEIN,"Generic Trade-In - no carrier, mfr or model specified",357815989213723,1Z1X298A0398262037,ReceivedInWarehouse
Houston,70832633,8416 Broadway St Ste 110,Master,Dealer,1/3/2025 17:25,RMA250103031,SAM A156U-BLU64_UT,Samsung Galaxy A15 5G Blue 64Gb,355030767900838,1Z1X298A0394408324,ReceivedInWarehouse
Denver,70832500,582 S Chambers Rd,Account,Default,1/3/2025 17:27,RMA250103033,TRADEIN,"Generic Trade-In - no carrier, mfr or model specified",351594954171804,1Z1X298A0393243334,ReceivedInWarehouse
Houston,70832634,13535 S Post Oak Rd Ste D,Master,Dealer,1/3/2025 18:19,RMA25010303U,TRADEIN,"Generic Trade-In - no carrier, mfr or model specified",862503070802244,1Z1X298A0392197860,ReceivedInWarehouse
San Francisco,70850790,231 San Benito St,Amanda,Moulton,1/3/2025 18:36,RMA250103048,MOT XT2417-1_UT,Moto G 5G Green 128Gb,356610172481497,1Z1X298A0390134529,ReceivedInWarehouse
Memphis,70832506,4673 Elvis Presley Blvd Ste 103,Account,Default,1/3/2025 19:46,RMA25010305M,TRADEIN,"Generic Trade-In - no carrier, mfr or model specified",354298122987094,1Z1X298A0391220728,Submitted
San Francisco,70851231,"2200 Eastridge Loop, suite 2041",SAM,Kumar,1/3/2025 19:48,RMA25010305P,SAM A156U-BLU128_UT,Samsung Galaxy A15 5G Blue 128Gb,353283324245864,1Z1X298A0399483314,ReceivedInWarehouse
Houston,70832629,3341 Telephone Rd Ste 108,Master,Dealer,1/3/2025 20:00,RMA25010305U,TRADEIN,"Generic Trade-In - no carrier, mfr or model specified",862503070642046,1Z1X298A0391065165,Submitted
Houston,70832604,7404 Airline Dr Ste D,Master,Dealer,1/3/2025 20:04,RMA25010305Z,MOT XT2417-1_UT,Moto G 5G Green 128Gb,357891271105232,1Z1X298A0390455192,ReceivedInWarehouse
Nashville Knoxville,70851756,3039 Brick Church Pike Ste A,Master,Dealer,1/3/2025 20:13,RMA250103061,TRADEIN,"Generic Trade-In - no carrier, mfr or model specified",354668350616880,1Z1X298A0398936363,ReceivedInWarehouse
San Francisco,70851233,311 N Capitol Ave Ste F,SAM,Kumar,1/3/2025 20:24,RMA250103068,SAM R866U_UT,Samsung Galaxy Watch Fan Edition Black 40Mm,358724330423222,1Z1X298A0390482215,ReceivedInWarehouse
Houston,70832598,12315 FM 1960,Master,Dealer,1/3/2025 20:40,RMA25010306K,MOT XT2419-1_UT,Moto G Stylus 5G Beige 128Gb,350512702890054,1Z1X298A0396538850,ReceivedInWarehouse
Houston,70846800,5101 Bingle Rd,Master,Dealer,1/3/2025 20:52,RMA25010306W,AP A2172-BLK64,metroPCS iPhone 12 Black 64Gb,351440828243926,1Z1X298A0399921902,ReceivedInWarehouse
